gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,LOEUF_v4
MAPK14,Generic signaling,Not classified,0.473,0.37466,0.023347,54.0,72.3676,27.40425,0.564
MAPK14,Generic signaling,Not classified,0.473,0.37466,0.023347,54.0,72.3676,27.40425,0.564
CDC42,Generic signaling,Not classified,0.501,0.78728,0.025653,54.0,227.04,101.3925,0.611
CDC42,Generic signaling,Not classified,0.501,0.78728,0.025653,54.0,227.04,101.3925,0.611
RPS6KA1,Generic signaling,Not classified,0.515,0.001906,0.009025,53.0,180.978,9.792355,0.694
RPS6KA1,Generic signaling,Not classified,0.515,0.001906,0.009025,53.0,180.978,9.792355,0.694
RAP1A,Generic signaling,Not classified,0.537,0.62227,0.024072,54.0,121.123,28.56365,0.433
RAP1A,Generic signaling,Not classified,0.537,0.62227,0.024072,54.0,121.123,28.56365,0.433
PAK1,Generic signaling,Not classified,0.563,0.001331,0.004659,54.0,161.854,28.0499,0.705
PAK1,Generic signaling,Not classified,0.563,0.001331,0.004659,54.0,161.854,28.0499,0.705
USF1,Generic signaling,Not classified,0.585,0.023545,0.006395,54.0,170.512,56.2528,0.658
USF1,Generic signaling,Not classified,0.585,0.023545,0.006395,54.0,170.512,56.2528,0.658
MAPK3,Generic signaling,Not classified,0.614,0.036884,0.029841,54.0,123.148,68.5799,0.935
MAPK3,Generic signaling,Not classified,0.614,0.036884,0.029841,54.0,123.148,68.5799,0.935
FZD3,Generic signaling,Not classified,0.62,0.000436,0.001368,44.0,10.4077,2.8345700000000003,0.514
FZD3,Generic signaling,Not classified,0.62,0.000436,0.001368,44.0,10.4077,2.8345700000000003,0.514
FOS,Generic signaling,Not classified,0.645,0.26176,0.036119,54.0,1112.22,124.9305,0.581
FOS,Generic signaling,Not classified,0.645,0.26176,0.036119,54.0,1112.22,124.9305,0.581
MAP2K3,Generic signaling,Not classified,0.663,0.022009,0.011405,54.0,171.079,30.86735,0.993
MAP2K3,Generic signaling,Not classified,0.663,0.022009,0.011405,54.0,171.079,30.86735,0.993
RHOA,Generic signaling,Not classified,0.664,0.60405,0.001642,54.0,994.224,375.891,0.433
RHOA,Generic signaling,Not classified,0.664,0.60405,0.001642,54.0,994.224,375.891,0.433
MAP4K2,Generic signaling,Not classified,0.689,0.0,0.000284,54.0,43.516,8.653815,0.867
MAP4K2,Generic signaling,Not classified,0.689,0.0,0.000284,54.0,43.516,8.653815,0.867
HRAS,Generic signaling,Other Mendelian,0.926,0.079774,0.030908,54.0,107.711,43.74565,0.893
HRAS,Generic signaling,Other Mendelian,0.926,0.079774,0.030908,54.0,107.711,43.74565,0.893
JUN,Generic signaling,Not classified,1.02,0.05962,0.04388,54.0,528.967,118.131,0.716
JUN,Generic signaling,Not classified,1.02,0.05962,0.04388,54.0,528.967,118.131,0.716
TNFRSF1A,Cytokines/growth factors,Not classified,0.236,0.9949,0.079,54.0,161.99,89.53985,0.382
TNFRSF1A,Cytokines/growth factors,Not classified,0.236,0.9949,0.079,54.0,161.99,89.53985,0.382
HGF,Cytokines/growth factors,Syndromic/developmental,0.25,0.99947,0.0,36.0,16.0997,1.627255,0.471
HGF,Cytokines/growth factors,Syndromic/developmental,0.25,0.99947,0.0,36.0,16.0997,1.627255,0.471
MET,Cytokines/growth factors,Syndromic/developmental,0.305,0.96998,0.018428,41.0,21.256,4.8491,0.446
MET,Cytokines/growth factors,Syndromic/developmental,0.305,0.96998,0.018428,41.0,21.256,4.8491,0.446
TNF,Cytokines/growth factors,Not classified,0.487,0.8033,0.077171,8.0,133.014,0.253657,0.592
TNF,Cytokines/growth factors,Not classified,0.487,0.8033,0.077171,8.0,133.014,0.253657,0.592
CSF2,Cytokines/growth factors,Not classified,0.505,0.83468,0.012213,1.0,1.15807,0.0,0.619
