gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,tau,n_expr,max_tissue,gtex_tissue_category,kegg_primary_pathway
IL6R,Cytokines/growth factors,Not classified,0.813,3.2e-05,0.007851,54.0,67.242,10.070495,0.4569028445659999,54.0,Muscle - Skeletal,Broad,PI3K-Akt signaling
IL12A,Cytokines/growth factors,Not classified,0.815,0.04746,0.001582,23.0,7.35502,0.8184945,0.7041418544271825,23.0,Cells - EBV-transformed lymphocytes,Immune-restricted,Cytokine-cytokine receptor
IL10,Cytokines/growth factors,Not classified,1.039,0.005887,0.000821,12.0,8.84863,0.274526,0.8431596321678168,12.0,Cells - EBV-transformed lymphocytes,Immune-restricted,Cytokine-cytokine receptor
IL1A,Cytokines/growth factors,Not classified,1.309,0.00016,0.009477,5.0,18.273,0.0817587499999999,0.9254167298632998,5.0,Testis,Reproductive-restricted,MAPK signaling
IL8,Cytokines/growth factors,Not classified,1.861,0.000274,0.000821,,,,0.7497637353989843,30.0,Lung,Other-restricted,Not in KEGG
CFLAR,Apoptosis/cell death,Other Mendelian,0.173,0.99967,0.000446,54.0,68.0345,26.4796,0.28655143085617,54.0,Lung,Housekeeping,Apoptosis
MCL1,Apoptosis/cell death,Not classified,0.29,0.96349,0.0,54.0,474.739,181.2355,0.19969633785425275,54.0,Lung,Housekeeping,PI3K-Akt signaling
BCL2L1,Apoptosis/cell death,Not classified,0.341,0.93667,0.001714,54.0,185.28,82.8615,0.1618499945643126,54.0,Artery - Aorta,Housekeeping,PI3K-Akt signaling
FAS,Apoptosis/cell death,Other Mendelian,0.441,0.8117,0.005041,52.0,75.4398,10.9865,0.4757691515598928,52.0,Cells - EBV-transformed lymphocytes,Broad,MAPK signaling
TP53,Apoptosis/cell death,Other Mendelian,0.469,0.53235,0.025518,54.0,72.9493,14.6837,0.4138219845267873,54.0,Cells - EBV-transformed lymphocytes,Broad,MAPK signaling
CASP3,Apoptosis/cell death,Other Mendelian,0.686,0.10017,0.058861,54.0,73.5942,15.6612,0.3660704810117754,54.0,Cells - EBV-transformed lymphocytes,Housekeeping,MAPK signaling
BCL2,Apoptosis/cell death,Other Mendelian,0.712,0.55903,0.002648,51.0,49.6889,4.623810000000001,0.5437071737162329,51.0,Cells - EBV-transformed lymphocytes,Broad,PI3K-Akt signaling
FASLG,Apoptosis/cell death,Not classified,0.716,0.18345,0.003212,3.0,5.80301,0.1188024999999999,0.9133773815168769,3.0,Spleen,Immune-restricted,MAPK signaling
BAX,Apoptosis/cell death,Not classified,0.751,0.31746,0.006247,54.0,212.862,36.0124,0.3449678748457415,54.0,Cells - EBV-transformed lymphocytes,Housekeeping,Apoptosis
CASP8,Apoptosis/cell death,Other Mendelian,0.811,4e-06,0.019349,40.0,26.7348,4.322735,0.5546283686793935,40.0,Spleen,Broad,Apoptosis
CASP9,Apoptosis/cell death,Not classified,0.974,7e-06,0.014932,54.0,56.4885,8.279085,0.43355229148311636,54.0,Ovary,Broad,PI3K-Akt signaling
DFFB,Apoptosis/cell death,Not classified,1.08,1.1e-05,0.004969,54.0,22.1073,5.53007,0.3990006682663849,54.0,Brain - Cerebellar Hemisphere,Housekeeping,Apoptosis
DFFA,Apoptosis/cell death,Not classified,1.161,8.7e-05,0.0,54.0,27.7305,12.9309,0.22814303027135932,54.0,Cells - EBV-transformed lymphocytes,Housekeeping,Apoptosis
BAK1,Apoptosis/cell death,Not classified,1.369,7e-06,0.013534,54.0,56.6773,14.01105,0.3444839819465023,54.0,Cells - EBV-transformed lymphocytes,Housekeeping,Apoptosis
BAD,Apoptosis/cell death,Not classified,1.533,0.004624,0.007595,54.0,70.8418,47.9799,0.10481685069643823,54.0,Thyroid,Housekeeping,PI3K-Akt signaling
