gene,BetweennessCentrality,LOEUF,pLI,functional_category,disease_class,kegg_functional_category,n_kegg_pathways,in_kegg_melanogenesis
F2RL1,0.02404293,1.327,0.00014843,Other,Not classified,Specialized/other,3,False
CDKN1A,0.00260687,1.375,0.0018575,Other,Not classified,Pleiotropic signaling,41,False
MMP1,0.00012242,1.525,7.7197e-18,Other,Not classified,Specialized/other,8,False
cAMP,0.04817277,1.553,0.0043897,Other,Not classified,N/A,,
SMPD2,0.01132438,1.583,3.5507e-18,Other,Not classified,Specialized/other,3,False
PTGER1,0.01513286,1.584,0.00097345,Other,Not classified,Specialized/other,4,False
TPSAB1,0.0,1.95,1.2733e-13,Other,Not classified,Specialized/other,1,False
OCA2,0.00129623,0.856,2.9064e-13,Pigment-specific,Isolated pigment,Melanocyte effector,0,False
DCT,0.00161457,1.174,7.3889e-14,Pigment-specific,Isolated pigment,Melanocyte effector,3,True
PMEL,0.0,1.287,3.0571e-18,Pigment-specific,Isolated pigment,Melanocyte effector,0,False
TYRP1,0.00039607,1.889,6.557e-25,Pigment-specific,Isolated pigment,Melanocyte effector,3,True
MLANA,0.00129623,1.952,1.2584e-09,Pigment-specific,Isolated pigment,Melanocyte effector,0,False
TYR,0.02650647,1.964,4.9861e-32,Pigment-specific,Isolated pigment,Melanocyte effector,3,True
MC1R,0.01653176,1.967,8.1075e-11,Pigment-specific,Isolated pigment,Melanocyte effector,3,True
