gene,centrality_inv,kegg_inv,tau_pct,skin_top_inv,skin_z_pct,loeuf_pct,canonical,composite,cluster
IL1A,0.5271317829457365,0.4418604651162791,0.9765625,0.8267716535433071,0.6535433070866141,0.875968992248062,False,0.7169731168233331,1
CFLAR,0.8372093023255813,0.7093023255813953,0.2890625,0.22047244094488194,0.3464566929133858,0.06976744186046512,False,0.41204511727095156,3
MCL1,0.937984496124031,0.7984496124031008,0.109375,0.7598425196850394,0.7559055118110236,0.21705426356589147,False,0.5964352339315143,2
BCL2L1,0.7441860465116279,0.3410852713178295,0.046875,0.5708661417322834,0.5748031496062992,0.32170542635658916,False,0.43325350592077155,2
FAS,0.6201550387596899,0.31007751937984496,0.6015625,0.4251968503937008,0.5354330708661418,0.43410852713178294,False,0.48775558442186,2
TP53,0.26356589147286824,0.13953488372093026,0.515625,0.9015748031496063,0.8661417322834646,0.4573643410852713,True,0.5239677752853568,4
CASP3,0.07751937984496127,0.17829457364341084,0.421875,0.36220472440944884,0.36220472440944884,0.6434108527131783,False,0.3409182091700747,4
BCL2,0.7054263565891472,0.21705426356589153,0.6640625,0.36220472440944884,0.28346456692913385,0.6589147286821705,True,0.48185452336263196,3
FASLG,0.6744186046511628,0.3178294573643411,0.9375,0.19291338582677164,0.1732283464566929,0.6666666666666666,False,0.4937594101609392,3
BAX,0.5968992248062015,0.15503875968992253,0.375,0.32677165354330706,0.3937007874015748,0.6744186046511628,False,0.42030483834869475,2
CASP8,0.3023255813953488,0.24031007751937983,0.6875,0.594488188976378,0.5905511811023622,0.6976744186046512,False,0.5188082412663534,4
CASP9,0.37209302325581395,0.25193798449612403,0.5546875,0.0,0.007874015748031496,0.7751937984496124,False,0.32696438699159697,3
DFFB,0.627906976744186,0.9147286821705426,0.4765625,0.019685039370078705,0.031496062992125984,0.8217054263565892,False,0.48201411460558713,3
DFFA,0.937984496124031,0.9147286821705426,0.1640625,0.16141732283464572,0.2283464566929134,0.8527131782945736,False,0.5432087726861177,3
BAK1,0.3798449612403101,0.2945736434108527,0.3671875,0.7598425196850394,0.7795275590551181,0.8914728682170543,False,0.5787415086013957,2
BAD,0.5503875968992248,0.21705426356589153,0.0078125,0.3976377952755905,0.41732283464566927,0.9147286821705426,False,0.41749061209281974,2
BBC3,0.8604651162790697,0.6434108527131783,0.3515625,0.7598425196850394,0.8582677165354331,0.937984496124031,False,0.7352555335561252,2
PMAIP1,0.6511627906976745,0.7093023255813953,0.8671875,0.9015748031496063,0.9448818897637795,0.9457364341085271,False,0.8366409572168304,1
BID,0.6821705426356589,0.39922480620155043,0.4140625,0.11023622047244097,0.11811023622047244,0.9689922480620154,False,0.44879942559868974,3
MSN,0.6666666666666667,0.7441860465116279,0.2109375,0.36220472440944884,0.48031496062992124,0.03875968992248062,False,0.4171782646900242,3
